!!! SPECIES                                             ;   k298    ;     A     ;   n ;   E/R   ; CODE1     ; CODE2     ; CODE3
! 
! Acyclic alkanes
! 
CH3CH3                                                  ;  2.40e-13 ;  6.90e-12 ; 0.0 ;  1000.0 ; MJ18KMV000;           ;           
CH3CH2CH3                                               ;  1.10e-12 ;  7.60e-12 ; 0.0 ;   585.0 ; MJ18KMV000;           ;           
CH3CH2CH2CH3                                            ;  2.35e-12 ;  9.80e-12 ; 0.0 ;   425.0 ; MJ18KMV000;           ;           
CH3CH2CH2CH2CH3                                         ;  3.96e-12 ;  1.81e-11 ; 0.0 ;   452.0 ; MJ18KMV000;           ;           
CH3CH2CH2CH2CH2CH3                                      ;  5.48e-12 ;  2.05e-11 ; 0.0 ;   394.0 ; MJ18KMV000;           ;           
CH3CH2CH2CH2CH2CH2CH3                                   ;  6.50e-12 ;  2.76e-11 ; 0.0 ;   430.0 ; MJ18KMV000;           ;           
CH3CH2CH2CH2CH2CH2CH2CH3                                ;  7.81e-12 ;  3.43e-11 ; 0.0 ;   441.0 ; MJ18KMV000;           ;           
CH3CH2CH2CH2CH2CH2CH2CH2CH3                             ;  9.75e-12 ;  9.75e-12 ; 0.0 ;     0.0 ; MJ18KMV000;           ;           
CH3CH2CH2CH2CH2CH2CH2CH2CH2CH3                          ;  1.10e-11 ;  1.10e-11 ; 0.0 ;     0.0 ; MJ18KMV000;           ;           
CH3CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3                       ;  1.23e-11 ;  1.23e-11 ; 0.0 ;     0.0 ; MJ18KMV000;           ;           
CH3CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3                    ;  1.32e-11 ;  1.32e-11 ; 0.0 ;     0.0 ; MJ18KMV000;           ;           
CH3CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3                 ;  1.51e-11 ;  1.51e-11 ; 0.0 ;     0.0 ; MJ18KMV000;           ;           
CH3CH(CH3)CH3                                           ;  2.10e-12 ;  5.40e-12 ; 0.0 ;   285.0 ; MJ18KMV000;           ;           
CH3CH2CH(CH3)CH3                                        ;  3.75e-12 ;  1.01e-11 ; 0.0 ;   296.0 ; MJ18KMV000;           ;           
