!!! SPECIES                                             ;   k298    ;     A     ;   n ;   E/R   ; CODE1     ; CODE2     ; CODE3
!
! alkane
! ------
!
CH3CH3                                                  ; 1.40E-18  ; 0.14E-17  ; 0.  ;      0. ; RA97KMV000;           ;
CH3CH2CH3                                               ; 1.70E-17  ; 1.70E-17  ; 0.  ;      0. ; RA97KMV000;           ;
CH3CH2CH2CH3                                            ; 4.59E-17  ; 2.76E-12  ; 0.  ;   3279. ; RA03KMV001;           ;
CH3CH(CH3)CH3                                           ; 1.06E-16  ; 3.05E-12  ; 0   ;   3060. ; RA03KMV001;           ;
CH3CH2CH2CH2CH3                                         ; 8.70E-17  ; 8.70E-17  ; 0.  ;      0. ; RA03KMV001;           ;
CH3CH(CH3)CH2CH3                                        ; 1.62E-16  ; 2.99E-12  ; 0.  ;   2927. ; RA03KMV001;           ;
CH3CH2CH2CH2CH2CH3                                      ; 1.10E-16  ; 1.10E-16  ; 0.  ;      0. ; RA03KMV001;           ;
CH3CH(CH3)CH2CH2CH3                                     ; 1.80E-16  ; 1.80E-16  ; 0.  ;      0. ; RA03KMV001;           ;
CH3CH2CH(CH3)CH2CH3                                     ; 2.20E-16  ; 2.20E-16  ; 0.  ;      0. ; RA03KMV001;           ;
CH3CH(CH3)CH(CH3)CH3                                    ; 4.40E-16  ; 4.40E-16  ; 0.  ;      0. ; RA03KMV001;           ;
CH3CH2CH2CH2CH2CH2CH3                                   ; 1.50E-16  ; 1.50E-16  ; 0.  ;      0. ; RA03KMV001;           ;
CH3CH(CH3)CH2CH(CH3)CH3                                 ; 1.50E-16  ; 1.50E-16  ; 0.  ;      0. ; RA03KMV001;           ;
CH3C(CH3)(CH3)CH(CH3)CH3                                ; 2.40E-16  ; 2.40E-16  ; 0.  ;      0. ; RA03KMV001;           ;
CH3CH2CH2CH2CH2CH2CH2CH3                                ; 1.90E-16  ; 1.90E-16  ; 0.  ;      0. ; RA03KMV001;           ;
CH3C(CH3)(CH3)CH2CH(CH3)CH3                             ; 9.00E-17  ; 9.00E-17  ; 0.  ;      0. ; RA03KMV001;           ;
